CTUID,Total income,  Market income,    Employment income,"      Wages, salaries and commissions",      Net self-employment income,    Investment income,    Private retirement income,    Market income not included elsewhere,  Government transfers,    Old Age Security pension (OAS) and Guaranteed Income Supplement (GIS),      Old Age Security pension (OAS),      Guaranteed Income Supplement (GIS) and spousal allowance,    Canada Pension Plan (CPP) and Québec Pension Plan (QPP) benefits,      CPP/QPP - Retirement benefits,      CPP/QPP - Disability benefits,      CPP/QPP - Survivor benefits,    Employment Insurance (EI) benefits,      EI - Regular benefits,      EI - Other benefits,    Child benefits,      Basic Canada Child Tax Benefit (CCTB),      National Child Benefit Supplement (NCBS),      Universal Child Care Benefit (UCCB),      Provincial and territorial child benefits,    Other government transfers,      Social assistance benefits,      Workers' compensation benefits,      Working income tax benefit (WITB),      Goods and services tax (GST) credit and harmonized sales tax (HST) credit,      Government transfers not included elsewhere,  After-tax income,  Income taxes,    Net federal tax,    Provincial and territorial income taxes
5350001.00,515,515,515,510,510,510,510,510,510,510,510,515,515,510,515,510,515,515,510,515,510,515,510,515,510,515,510,510,510,510,510,510,510,510
5350002.00,530,530,530,530,530,530,530,530,530,530,530,530,530,530,530,535,535,530,535,530,530,530,530,535,530,535,530,530,530,530,535,530,530,535
5350003.00,425,430,425,425,425,430,430,425,430,430,430,425,430,425,425,425,430,425,430,425,425,425,430,425,430,425,425,425,425,430,430,425,430,430
5350004.00,5700,5700,5700,5700,5700,5705,5700,5700,5700,5700,5705,5700,5700,5700,5700,5700,5700,5700,5700,5700,5700,5700,5700,5700,5700,5700,5705,5700,5700,5700,5700,5700,5705,5700
5350005.00,5525,5525,5530,5530,5530,5525,5525,5530,5530,5530,5525,5530,5525,5530,5530,5525,5525,5530,5525,5525,5525,5530,5525,5530,5525,5530,5530,5525,5530,5530,5530,5530,5525,5530
5350007.01,2815,2820,2815,2815,2815,2820,2815,2815,2815,2820,2815,2820,2820,2815,2815,2815,2820,2815,2820,2820,2820,2820,2820,2820,2820,2820,2820,2815,2815,2815,2820,2815,2815,2820
5350007.02,4115,4115,4110,4110,4115,4115,4110,4110,4110,4115,4115,4115,4110,4110,4115,4115,4115,4115,4115,4110,4110,4110,4110,4110,4115,4110,4110,4110,4110,4110,4115,4110,4115,4115
5350008.01,7205,7205,7205,7205,7205,7205,7205,7205,7205,7205,7200,7200,7205,7205,7205,7205,7205,7205,7205,7205,7205,7205,7205,7205,7205,7205,7205,7205,7205,7205,7200,7205,7205,7205
5350008.02,9235,9235,9235,9235,9235,9235,9235,9235,9235,9235,9235,9235,9235,9235,9235,9235,9235,9235,9235,9235,9235,9235,9235,9235,9235,9235,9235,9235,9235,9235,9235,9235,9235,9235
5350009.00,260,260,260,260,260,260,260,260,260,260,265,260,260,260,260,260,260,260,260,260,260,260,260,265,260,260,260,265,265,260,265,260,260,260
5350010.01,4865,4860,4865,4860,4865,4865,4865,4865,4865,4865,4865,4865,4865,4865,4865,4860,4865,4860,4860,4865,4865,4860,4860,4865,4860,4860,4865,4860,4865,4865,4865,4860,4865,4865
5350010.02,6830,6830,6830,6830,6830,6830,6830,6825,6830,6830,6825,6830,6830,6830,6830,6830,6830,6830,6825,6830,6830,6825,6830,6830,6830,6830,6830,6825,6830,6830,6830,6830,6830,6830
5350011.00,16935,16935,16935,16935,16935,16940,16935,16935,16935,16935,16940,16935,16935,16940,16935,16935,16935,16935,16935,16935,16935,16935,16935,16935,16935,16935,16940,16935,16935,16940,16935,16935,16940,16935
5350012.01,10845,10845,10840,10840,10840,10840,10845,10845,10845,10840,10845,10845,10845,10840,10845,10845,10845,10845,10845,10845,10845,10840,10845,10845,10845,10840,10840,10840,10840,10845,10840,10840,10840,10845
5350012.03,8405,8405,8405,8405,8405,8405,8405,8405,8410,8405,8410,8410,8405,8405,8405,8405,8405,8405,8410,8405,8405,8405,8405,8405,8405,8405,8410,8405,8405,8405,8405,8410,8405,8410
5350012.04,4615,4615,4615,4615,4615,4615,4615,4615,4615,4615,4615,4615,4615,4615,4615,4615,4615,4610,4615,4610,4615,4615,4610,4615,4615,4615,4615,4615,4615,4615,4615,4615,4610,4615
5350013.01,5980,5980,5980,5980,5980,5980,5980,5980,5980,5980,5980,5980,5980,5980,5980,5980,5980,5980,5980,5980,5980,5980,5980,5980,5980,5980,5980,5980,5980,5980,5980,5980,5980,5980
5350013.02,7540,7540,7540,7540,7540,7540,7540,7540,7540,7540,7540,7540,7540,7540,7540,7540,7540,7540,7540,7540,7540,7540,7540,7540,7540,7540,7540,7540,7540,7540,7540,7540,7540,7540
5350014.00,1120,1120,1120,1115,1120,1120,1115,1115,1115,1115,1115,1120,1120,1120,1115,1120,1120,1115,1115,1120,1120,1115,1120,1120,1120,1115,1120,1120,1120,1115,1120,1115,1115,1120
5350015.00,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400
5350016.00,9120,9120,9120,9120,9120,9120,9120,9120,9120,9120,9120,9120,9120,9120,9120,9120,9120,9120,9120,9120,9120,9120,9120,9120,9120,9120,9120,9120,9120,9120,9120,9120,9120,9120
5350017.00,7145,7145,7140,7140,7145,7140,7140,7145,7140,7145,7140,7145,7140,7145,7145,7140,7140,7145,7140,7145,7145,7140,7140,7145,7145,7145,7145,7145,7145,7140,7145,7140,7145,7145
5350018.00,2055,2055,2055,2055,2055,2055,2055,2055,2055,2055,2055,2055,2055,2055,2055,2055,2055,2055,2055,2055,2055,2055,2055,2055,2055,2055,2055,2055,2055,2055,2055,2055,2055,2055
5350019.00,2575,2575,2580,2580,2575,2580,2575,2575,2575,2575,2575,2575,2575,2575,2575,2575,2575,2580,2575,2575,2580,2575,2580,2575,2575,2575,2580,2575,2580,2575,2575,2575,2575,2575
5350020.00,1935,1935,1935,1935,1935,1935,1935,1935,1935,1935,1935,1935,1935,1935,1935,1935,1935,1935,1935,1935,1935,1935,1935,1935,1935,1935,1935,1935,1935,1935,1935,1935,1935,1935
5350021.00,4490,4490,4490,4490,4490,4490,4490,4490,4490,4495,4490,4490,4490,4490,4490,4490,4490,4490,4495,4490,4490,4495,4490,4490,4490,4490,4490,4490,4490,4490,4490,4490,4490,4495
5350022.00,3075,3075,3080,3075,3075,3075,3075,3075,3075,3075,3080,3080,3080,3075,3080,3075,3075,3080,3080,3075,3075,3075,3075,3075,3075,3075,3075,3075,3075,3075,3075,3075,3075,3075
5350023.00,2635,2635,2635,2635,2635,2635,2635,2635,2630,2635,2635,2635,2635,2630,2635,2630,2635,2630,2635,2635,2635,2635,2635,2635,2635,2630,2635,2635,2635,2635,2635,2635,2630,2635
5350024.00,5485,5480,5485,5485,5485,5485,5485,5485,5485,5485,5480,5480,5485,5480,5485,5485,5485,5485,5485,5485,5485,5480,5485,5485,5485,5485,5485,5485,5485,5485,5485,5485,5485,5485
5350025.00,2845,2850,2850,2845,2845,2845,2850,2845,2850,2850,2845,2845,2850,2845,2850,2850,2845,2845,2845,2845,2845,2845,2845,2845,2845,2845,2845,2850,2850,2850,2850,2845,2845,2850
5350026.00,5325,5325,5325,5325,5330,5325,5330,5325,5330,5325,5330,5325,5325,5330,5330,5325,5325,5330,5325,5330,5330,5325,5330,5325,5325,5325,5325,5330,5330,5325,5330,5330,5325,5325
5350027.00,3600,3600,3600,3605,3600,3600,3600,3600,3600,3600,3605,3605,3600,3600,3605,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3605,3600,3600,3600,3600,3600,3605
5350028.01,1160,1160,1160,1160,1160,1160,1160,1160,1160,1160,1160,1165,1160,1160,1160,1160,1160,1165,1160,1160,1160,1160,1160,1160,1160,1160,1160,1160,1160,1160,1160,1160,1160,1160
5350028.02,5135,5130,5135,5130,5130,5130,5130,5130,5130,5135,5130,5135,5135,5130,5130,5135,5135,5130,5130,5130,5130,5130,5130,5135,5135,5130,5135,5130,5135,5130,5130,5135,5135,5130
5350029.00,5890,5890,5885,5890,5890,5890,5885,5890,5890,5885,5885,5885,5890,5890,5890,5890,5890,5890,5885,5890,5890,5885,5890,5890,5890,5890,5890,5890,5885,5890,5890,5885,5885,5885
5350030.00,3850,3850,3855,3855,3855,3850,3850,3855,3850,3850,3855,3850,3855,3850,3855,3850,3855,3855,3855,3855,3850,3855,3850,3855,3855,3855,3855,3855,3850,3850,3855,3850,3850,3850
5350031.00,5190,5190,5190,5190,5190,5190,5190,5190,5190,5190,5190,5190,5190,5190,5190,5190,5190,5190,5190,5190,5190,5190,5190,5190,5190,5190,5190,5190,5190,5190,5190,5190,5190,5190
5350032.00,3870,3875,3875,3875,3870,3870,3870,3875,3875,3870,3870,3870,3870,3875,3870,3875,3875,3870,3875,3875,3870,3875,3870,3875,3870,3875,3875,3870,3870,3870,3875,3870,3870,3870
5350033.00,4035,4035,4040,4035,4035,4035,4035,4040,4035,4035,4035,4035,4035,4040,4035,4035,4035,4040,4035,4035,4035,4035,4035,4040,4035,4035,4035,4035,4035,4040,4035,4035,4035,4035
5350034.01,3790,3785,3790,3790,3785,3785,3785,3790,3785,3790,3785,3785,3785,3790,3785,3790,3785,3785,3785,3790,3785,3785,3790,3785,3790,3785,3790,3790,3785,3785,3785,3785,3785,3785
5350034.02,4650,4650,4650,4650,4650,4645,4645,4645,4650,4645,4645,4650,4645,4650,4645,4645,4645,4650,4645,4650,4650,4650,4650,4650,4650,4645,4650,4650,4645,4650,4650,4645,4645,4645
5350035.00,9145,9145,9140,9145,9145,9145,9140,9145,9140,9145,9145,9145,9145,9145,9140,9145,9140,9140,9145,9140,9145,9140,9140,9140,9145,9145,9145,9140,9140,9145,9140,9140,9145,9145
5350036.00,5160,5160,5160,5160,5160,5160,5160,5160,5160,5160,5160,5160,5160,5160,5160,5160,5160,5160,5160,5160,5160,5160,5160,5160,5160,5160,5160,5160,5160,5160,5160,5160,5160,5160
5350037.00,4030,4025,4025,4025,4025,4025,4025,4030,4030,4025,4030,4030,4025,4030,4030,4030,4030,4030,4030,4025,4030,4030,4025,4025,4030,4025,4025,4030,4030,4025,4030,4030,4025,4025
5350038.00,3355,3355,3355,3355,3355,3355,3355,3355,3355,3355,3355,3355,3355,3355,3355,3355,3355,3355,3355,3355,3355,3355,3355,3355,3355,3355,3355,3355,3355,3355,3355,3355,3355,3355
5350039.00,3605,3605,3610,3605,3605,3610,3605,3605,3605,3605,3610,3605,3605,3605,3610,3605,3610,3610,3605,3605,3605,3605,3605,3605,3605,3605,3605,3605,3605,3605,3610,3610,3605,3605
5350040.00,4060,4060,4060,4060,4060,4060,4060,4060,4055,4060,4060,4060,4060,4060,4060,4060,4060,4060,4060,4060,4055,4060,4060,4060,4060,4055,4060,4060,4060,4060,4060,4055,4055,4060
5350041.00,3045,3045,3045,3045,3045,3045,3050,3045,3045,3045,3045,3045,3050,3050,3045,3045,3045,3045,3045,3050,3045,3045,3045,3045,3050,3045,3045,3045,3045,3045,3045,3045,3050,3045
5350042.00,4025,4025,4025,4025,4025,4025,4025,4025,4025,4025,4025,4025,4025,4025,4025,4025,4025,4025,4025,4025,4025,4025,4025,4025,4025,4025,4025,4025,4025,4025,4025,4025,4025,4025
5350043.00,3355,3355,3355,3355,3355,3355,3355,3355,3355,3355,3355,3355,3355,3355,3355,3355,3355,3355,3355,3355,3355,3355,3355,3355,3355,3355,3355,3355,3355,3355,3355,3355,3355,3355
5350044.00,7905,7905,7905,7905,7905,7905,7900,7905,7900,7905,7900,7905,7905,7905,7900,7905,7900,7905,7905,7900,7900,7905,7905,7905,7900,7905,7905,7905,7905,7905,7900,7905,7900,7905
5350045.00,2915,2915,2915,2915,2910,2910,2910,2915,2910,2910,2910,2915,2910,2910,2910,2910,2910,2910,2915,2915,2910,2910,2910,2910,2910,2910,2910,2910,2910,2910,2910,2915,2910,2910
5350046.00,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840,2840
5350047.02,3285,3285,3285,3285,3285,3285,3285,3285,3285,3285,3285,3285,3285,3285,3285,3285,3285,3285,3285,3285,3285,3285,3285,3285,3285,3285,3285,3285,3285,3285,3285,3285,3285,3285
5350047.03,620,615,620,620,620,620,615,620,615,620,615,620,615,620,620,620,620,620,615,620,620,620,620,620,620,620,620,620,615,620,620,620,620,620
5350047.04,2340,2340,2340,2340,2340,2340,2335,2340,2340,2340,2340,2335,2340,2340,2340,2340,2340,2340,2335,2340,2340,2340,2335,2335,2340,2340,2340,2340,2335,2340,2335,2340,2340,2335
5350048.00,2940,2935,2940,2940,2940,2935,2935,2935,2940,2935,2935,2940,2940,2935,2940,2940,2935,2940,2940,2940,2940,2940,2935,2935,2940,2935,2940,2940,2940,2940,2940,2940,2935,2940
5350049.00,2690,2690,2685,2685,2685,2685,2690,2690,2690,2685,2685,2685,2690,2685,2685,2685,2690,2685,2690,2685,2685,2690,2685,2690,2690,2685,2685,2690,2685,2690,2685,2685,2685,2685
5350050.01,7575,7575,7575,7575,7580,7575,7575,7580,7575,7575,7575,7575,7575,7575,7575,7575,7580,7575,7575,7580,7575,7575,7575,7575,7575,7575,7575,7580,7575,7580,7580,7575,7575,7575
5350050.03,990,990,985,985,990,985,985,990,985,990,985,985,985,985,990,985,985,985,990,985,990,990,990,990,985,990,985,985,985,985,985,990,985,985
5350050.04,4070,4070,4070,4070,4070,4070,4070,4070,4070,4070,4070,4070,4070,4070,4070,4070,4070,4070,4070,4070,4070,4070,4070,4070,4070,4070,4070,4070,4070,4070,4070,4070,4070,4070
5350051.00,4490,4490,4490,4490,4490,4490,4490,4490,4490,4490,4490,4490,4490,4490,4490,4490,4490,4490,4490,4490,4490,4490,4490,4490,4490,4490,4490,4490,4490,4490,4490,4490,4490,4490
5350052.00,3395,3395,3395,3390,3395,3395,3395,3395,3395,3395,3395,3390,3395,3395,3395,3395,3395,3390,3390,3395,3395,3395,3395,3395,3395,3395,3395,3395,3390,3395,3395,3390,3395,3395
5350053.00,5325,5320,5325,5325,5320,5325,5320,5320,5320,5320,5325,5325,5325,5320,5320,5325,5325,5320,5320,5320,5320,5325,5325,5320,5325,5320,5320,5320,5325,5325,5320,5325,5325,5320
5350054.00,5105,5105,5105,5110,5105,5105,5110,5105,5105,5105,5105,5105,5105,5105,5105,5105,5105,5105,5105,5105,5105,5105,5105,5110,5105,5105,5105,5105,5110,5105,5105,5110,5105,5105
5350055.00,2480,2480,2480,2480,2480,2485,2480,2480,2485,2485,2480,2485,2480,2480,2485,2480,2485,2480,2485,2480,2480,2485,2485,2480,2485,2480,2485,2485,2480,2480,2485,2485,2480,2480
5350056.00,4295,4295,4295,4295,4295,4295,4295,4295,4295,4295,4295,4295,4295,4295,4295,4295,4295,4295,4295,4295,4295,4295,4295,4295,4295,4295,4295,4295,4295,4295,4295,4295,4295,4295
5350057.00,2100,2100,2100,2100,2100,2100,2100,2100,2100,2105,2100,2100,2100,2105,2100,2105,2100,2100,2100,2100,2105,2100,2100,2100,2100,2105,2100,2100,2100,2105,2100,2100,2100,2105
5350058.00,3620,3615,3620,3615,3620,3620,3620,3615,3620,3615,3620,3615,3620,3620,3620,3620,3620,3615,3620,3620,3620,3615,3620,3620,3620,3620,3615,3620,3615,3620,3620,3615,3620,3620
5350059.00,2945,2945,2945,2945,2945,2945,2945,2945,2945,2945,2945,2945,2945,2945,2945,2945,2945,2945,2945,2945,2945,2945,2945,2945,2945,2945,2945,2945,2945,2945,2945,2945,2945,2945
5350060.00,2515,2515,2515,2515,2515,2515,2515,2515,2515,2515,2515,2515,2515,2515,2515,2515,2515,2515,2515,2515,2515,2515,2515,2515,2515,2515,2515,2515,2515,2515,2515,2515,2515,2515
5350061.00,705,705,710,710,710,710,705,710,710,710,710,705,705,710,710,710,705,705,710,710,710,710,710,705,710,710,710,710,710,710,710,710,710,705
5350062.01,5085,5085,5085,5085,5085,5085,5085,5090,5090,5090,5085,5085,5090,5085,5090,5085,5090,5090,5085,5085,5090,5090,5090,5085,5085,5090,5090,5090,5085,5085,5090,5085,5085,5090
5350062.02,8595,8595,8595,8595,8595,8595,8590,8595,8595,8595,8595,8595,8595,8595,8595,8595,8595,8595,8590,8595,8590,8595,8595,8595,8590,8595,8595,8595,8595,8590,8595,8595,8595,8595
5350063.03,4925,4925,4925,4920,4920,4925,4920,4920,4920,4920,4925,4925,4920,4920,4920,4925,4925,4925,4920,4925,4925,4925,4920,4920,4920,4925,4920,4920,4920,4920,4925,4920,4925,4925
5350063.04,3160,3160,3160,3165,3160,3165,3165,3160,3160,3160,3160,3160,3160,3160,3160,3165,3160,3165,3165,3165,3160,3165,3165,3160,3160,3160,3165,3160,3165,3165,3165,3160,3165,3165
5350063.05,4215,4215,4215,4215,4215,4215,4215,4215,4215,4220,4215,4215,4215,4215,4220,4215,4215,4215,4215,4220,4215,4215,4215,4220,4215,4215,4215,4215,4215,4215,4215,4215,4220,4215
5350063.06,4965,4965,4965,4965,4960,4965,4965,4965,4965,4965,4965,4965,4960,4965,4965,4965,4960,4965,4965,4965,4965,4965,4965,4965,4965,4960,4965,4965,4965,4960,4960,4965,4965,4960
5350064.00,3970,3970,3970,3975,3970,3970,3970,3975,3970,3970,3970,3970,3970,3970,3975,3975,3975,3970,3975,3970,3970,3970,3970,3970,3970,3970,3970,3975,3975,3970,3970,3970,3970,3970
5350065.01,2220,2220,2215,2220,2215,2215,2215,2215,2215,2220,2220,2215,2220,2215,2220,2220,2215,2220,2215,2215,2220,2220,2215,2220,2220,2220,2220,2215,2220,2220,2215,2220,2215,2220
5350065.02,9885,9885,9885,9885,9885,9880,9885,9885,9885,9885,9885,9885,9885,9885,9880,9885,9880,9885,9885,9885,9885,9885,9880,9885,9885,9885,9885,9885,9880,9885,9885,9885,9880,9885
5350066.00,6610,6610,6605,6610,6610,6610,6610,6610,6610,6610,6610,6610,6605,6610,6610,6610,6610,6605,6610,6610,6610,6605,6610,6610,6610,6610,6610,6610,6610,6610,6605,6610,6605,6610
5350067.00,1485,1485,1490,1485,1485,1490,1485,1485,1490,1490,1490,1485,1485,1485,1485,1485,1485,1485,1490,1485,1485,1485,1485,1485,1485,1490,1485,1485,1485,1485,1485,1485,1485,1485
5350068.00,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100
5350069.00,4020,4020,4025,4025,4025,4025,4020,4025,4025,4020,4020,4025,4020,4025,4025,4025,4020,4025,4025,4020,4025,4020,4025,4020,4025,4025,4025,4025,4020,4025,4025,4020,4020,4025
5350070.00,2905,2905,2905,2905,2905,2905,2905,2905,2905,2900,2905,2905,2900,2905,2900,2905,2905,2905,2900,2905,2905,2905,2905,2905,2905,2905,2900,2900,2900,2905,2900,2905,2905,2905
5350071.00,2805,2810,2810,2805,2810,2810,2805,2805,2810,2805,2810,2805,2805,2805,2810,2805,2805,2805,2810,2810,2810,2805,2810,2810,2805,2805,2805,2810,2810,2810,2805,2805,2805,2805
5350072.01,3675,3675,3675,3680,3680,3680,3675,3680,3675,3680,3675,3675,3680,3680,3675,3675,3675,3675,3680,3680,3675,3680,3675,3675,3675,3675,3680,3680,3675,3680,3680,3675,3680,3675
5350072.02,2605,2605,2605,2605,2605,2605,2605,2605,2605,2605,2605,2605,2605,2605,2605,2605,2605,2605,2605,2605,2605,2605,2605,2605,2605,2605,2605,2605,2605,2605,2605,2605,2605,2605
5350073.00,2215,2220,2215,2215,2215,2220,2215,2215,2215,2215,2215,2215,2220,2220,2220,2215,2215,2215,2215,2215,2215,2215,2215,2220,2215,2215,2215,2220,2220,2215,2215,2215,2215,2215
5350074.00,3180,3175,3175,3175,3175,3175,3175,3180,3175,3175,3175,3175,3175,3180,3175,3175,3175,3175,3175,3175,3180,3175,3175,3175,3175,3175,3180,3180,3175,3180,3175,3175,3175,3175
5350075.00,3415,3420,3415,3415,3415,3415,3415,3420,3420,3420,3415,3415,3415,3420,3420,3420,3420,3420,3415,3415,3415,3420,3415,3415,3420,3415,3415,3415,3415,3415,3415,3420,3415,3420
5350076.00,3600,3600,3600,3600,3600,3600,3605,3605,3600,3600,3600,3600,3605,3600,3600,3600,3600,3600,3605,3600,3605,3600,3600,3605,3600,3605,3605,3600,3600,3600,3605,3600,3605,3600
5350077.00,3660,3660,3660,3660,3655,3660,3655,3660,3655,3655,3655,3655,3660,3660,3660,3660,3660,3660,3655,3660,3655,3660,3660,3655,3655,3660,3660,3660,3660,3660,3660,3655,3660,3660
5350078.00,5000,5000,5005,5000,5005,5000,5000,5000,5000,5000,5000,5000,5000,5005,5000,5000,5000,5000,5000,5000,5000,5000,5000,5005,5005,5000,5005,5000,5000,5000,5000,5000,5000,5000
5350079.00,5670,5670,5670,5670,5670,5675,5670,5675,5670,5670,5670,5675,5670,5670,5670,5670,5670,5670,5670,5670,5670,5670,5675,5670,5670,5670,5670,5670,5670,5670,5670,5670,5670,5670
5350080.01,2790,2790,2790,2790,2790,2790,2790,2790,2790,2790,2790,2790,2790,2790,2790,2790,2790,2790,2790,2790,2790,2790,2790,2790,2790,2790,2790,2790,2790,2790,2790,2790,2790,2790
5350080.02,3830,3830,3830,3830,3830,3830,3830,3830,3830,3830,3830,3830,3830,3830,3830,3830,3830,3830,3830,3830,3830,3830,3830,3830,3830,3830,3830,3830,3830,3830,3830,3830,3830,3830
5350081.00,2305,2305,2305,2305,2305,2305,2305,2305,2305,2305,2305,2300,2305,2305,2305,2305,2305,2300,2305,2305,2300,2305,2305,2305,2305,2300,2305,2305,2305,2305,2305,2305,2305,2305
5350082.00,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195,2195
5350083.00,3450,3450,3450,3450,3450,3450,3450,3450,3450,3450,3450,3450,3450,3450,3450,3450,3450,3450,3450,3450,3450,3450,3450,3450,3450,3450,3450,3450,3450,3450,3450,3450,3450,3450
5350084.00,2995,2995,2990,2990,2995,2995,2990,2990,2995,2995,2995,2990,2990,2990,2995,2995,2995,2990,2995,2990,2990,2995,2995,2995,2995,2995,2990,2990,2995,2990,2995,2995,2995,2990
5350085.00,3500,3495,3495,3495,3495,3500,3500,3495,3495,3495,3495,3500,3495,3495,3500,3495,3495,3495,3500,3495,3495,3495,3495,3500,3500,3500,3495,3500,3500,3495,3500,3495,3500,3495
5350086.00,2130,2135,2130,2135,2130,2130,2130,2130,2135,2130,2135,2130,2135,2130,2135,2130,2135,2130,2135,2130,2130,2135,2130,2130,2130,2135,2130,2130,2130,2130,2130,2130,2135,2135
5350087.00,4525,4525,4525,4525,4525,4525,4525,4525,4525,4525,4525,4525,4525,4525,4525,4525,4525,4525,4525,4525,4525,4525,4525,4525,4525,4525,4525,4525,4525,4525,4525,4525,4525,4525
5350088.00,2915,2915,2920,2915,2915,2915,2920,2915,2915,2915,2915,2915,2915,2915,2915,2920,2920,2915,2915,2915,2915,2915,2915,2920,2915,2915,2915,2915,2915,2915,2915,2915,2915,2915
5350089.00,3515,3515,3515,3515,3515,3515,3515,3515,3515,3515,3515,3515,3515,3510,3515,3515,3515,3515,3515,3515,3515,3515,3515,3515,3515,3510,3515,3515,3510,3515,3510,3515,3515,3515
5350090.00,3630,3630,3630,3625,3625,3630,3630,3625,3630,3630,3630,3625,3630,3625,3630,3630,3625,3630,3630,3630,3625,3630,3630,3625,3630,3625,3625,3630,3630,3625,3625,3630,3630,3625
5350091.01,5035,5035,5030,5030,5035,5030,5030,5030,5030,5030,5035,5030,5030,5035,5035,5030,5030,5035,5030,5030,5035,5035,5030,5030,5030,5030,5030,5030,5030,5030,5030,5035,5030,5035
5350091.02,3090,3090,3090,3095,3090,3090,3090,3095,3090,3090,3090,3090,3090,3090,3090,3090,3090,3090,3090,3090,3090,3090,3090,3090,3095,3090,3095,3090,3090,3090,3095,3090,3090,3090
5350092.00,6455,6455,6460,6460,6460,6455,6455,6460,6460,6455,6455,6460,6460,6455,6455,6455,6460,6460,6460,6460,6460,6455,6460,6455,6455,6455,6460,6460,6455,6455,6460,6455,6455,6455
5350093.00,4575,4575,4575,4575,4575,4575,4575,4575,4575,4575,4575,4575,4575,4575,4575,4575,4575,4575,4575,4575,4575,4575,4575,4575,4575,4575,4575,4575,4575,4575,4575,4575,4575,4575
5350094.00,4335,4335,4340,4335,4340,4335,4335,4340,4335,4335,4335,4340,4340,4335,4340,4335,4340,4335,4335,4340,4340,4335,4340,4340,4340,4340,4335,4335,4340,4335,4340,4335,4335,4340
5350095.00,2755,2755,2755,2755,2755,2755,2755,2755,2755,2755,2755,2755,2755,2755,2755,2755,2755,2755,2755,2755,2755,2755,2755,2755,2755,2755,2755,2755,2755,2755,2755,2755,2755,2755
5350096.01,1445,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1450,1445,1450,1445,1450,1450,1450,1450,1445,1450,1450,1450,1445,1450,1445,1450,1450,1450,1450,1450,1445,1450
5350096.02,2950,2945,2950,2950,2950,2950,2945,2950,2950,2950,2950,2950,2950,2950,2945,2945,2950,2945,2945,2945,2950,2945,2945,2945,2945,2950,2945,2950,2945,2950,2945,2950,2950,2950
5350097.01,3605,3600,3605,3605,3605,3605,3605,3605,3600,3600,3600,3605,3605,3605,3600,3605,3605,3605,3605,3605,3605,3600,3605,3600,3605,3605,3605,3605,3605,3600,3605,3600,3600,3600
5350097.03,1085,1080,1085,1080,1080,1085,1085,1085,1080,1085,1080,1080,1080,1085,1080,1080,1080,1085,1080,1080,1080,1080,1080,1080,1080,1080,1085,1080,1080,1080,1085,1080,1085,1080
5350097.04,4790,4790,4790,4790,4790,4790,4795,4790,4790,4795,4790,4790,4790,4790,4795,4790,4795,4790,4790,4790,4790,4790,4790,4790,4790,4790,4790,4790,4790,4795,4790,4790,4790,4790
5350098.00,6095,6095,6095,6095,6095,6095,6095,6095,6095,6095,6095,6095,6095,6095,6095,6095,6095,6095,6095,6095,6095,6095,6095,6095,6095,6095,6095,6095,6095,6095,6095,6095,6095,6095
5350099.00,5630,5630,5630,5630,5630,5630,5630,5630,5630,5630,5630,5630,5630,5630,5630,5630,5630,5630,5630,5630,5630,5630,5630,5630,5630,5630,5630,5630,5630,5630,5630,5630,5630,5630
5350100.00,2450,2450,2450,2450,2450,2450,2450,2445,2445,2450,2445,2450,2450,2450,2450,2450,2450,2450,2445,2450,2450,2450,2450,2450,2450,2450,2450,2450,2450,2450,2450,2450,2450,2450
5350101.00,2690,2690,2690,2690,2690,2690,2690,2690,2695,2690,2695,2690,2690,2690,2690,2695,2690,2690,2690,2690,2695,2695,2690,2690,2695,2690,2690,2690,2695,2690,2695,2695,2690,2695
5350102.02,3890,3885,3885,3890,3890,3885,3890,3885,3890,3890,3890,3885,3890,3885,3890,3890,3885,3890,3890,3890,3890,3890,3890,3890,3885,3890,3890,3890,3885,3890,3890,3890,3890,3890
5350102.03,3305,3305,3305,3305,3305,3305,3305,3305,3305,3305,3305,3305,3305,3305,3305,3305,3305,3305,3305,3305,3305,3305,3305,3305,3305,3305,3305,3305,3305,3305,3305,3305,3305,3305
5350102.04,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570,570
5350102.05,690,690,690,690,690,685,690,690,690,685,685,690,685,690,690,690,690,685,685,690,685,690,690,690,690,685,685,690,690,690,685,690,690,690
5350103.00,4895,4895,4895,4895,4895,4895,4895,4895,4895,4895,4895,4895,4895,4895,4895,4895,4895,4895,4895,4895,4895,4895,4895,4895,4895,4895,4895,4895,4895,4895,4895,4895,4895,4895
